dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,contact_extension,pct_students_tested,academic_tier_rating
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14.0,380.0,372.0,349.0,x123,78.0,4.0
12X480,BRONX REGIONAL HIGH SCHOOL,16.0,398.0,385.0,398.0,x123,,3.0
12X550,HIGH SCHOOL OF WORLD CULTURES,42.0,304.0,323.0,312.0,x234,85.0,3.0
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72.0,342.0,346.0,341.0,No Data,,3.0
12X684,WINGS ACADEMY,66.0,378.0,374.0,362.0,x345,,
12X690,MONROE ACADEMY FOR BUSINESS/LAW,31.0,375.0,387.0,376.0,x123,92.0,2.0
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43.0,332.0,357.0,349.0,x234,,2.0
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29.0,352.0,349.0,373.0,No Data,,1.0
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,9.0,439.0,374.0,418.0,x345,78.0,2.0
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52.0,360.0,364.0,356.0,x123,78.0,1.0
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37.0,375.0,355.0,384.0,No Data,78.0,3.0
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92.0,399.0,417.0,395.0,x234,92.0,3.0
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90.0,305.0,364.0,312.0,No Data,,
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105.0,400.0,417.0,389.0,x234,92.0,2.0
13K499,ACORN COMMUNITY HIGH SCHOOL,72.0,384.0,364.0,368.0,x234,92.0,1.0
13K509,FREEDOM ACADEMY HIGH SCHOOL,29.0,400.0,390.0,403.0,x345,,3.0
13K553,BROOKLYN ACADEMY HIGH SCHOOL,8.0,435.0,383.0,379.0,x345,,2.0
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13.0,398.0,391.0,394.0,x345,92.0,1.0
13K595,BEDFORD ACADEMY HIGH SCHOOL,89.0,438.0,443.0,431.0,No Data,85.0,
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85.0,406.0,391.0,392.0,x234,,
13K670,BENJAMIN BANNEKER ACADEMY,185.0,471.0,472.0,448.0,x345,,3.0
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20.0,441.0,499.0,413.0,x123,,1.0
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102.0,365.0,361.0,359.0,x123,78.0,4.0
14K404,ACADEMY FOR YOUNG WRITERS,68.0,387.0,357.0,381.0,x345,78.0,
14K449,"BROOKLYN LATIN SCHOOL, THE",72.0,586.0,584.0,570.0,x345,78.0,2.0
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41.0,407.0,386.0,396.0,x234,,3.0
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144.0,364.0,379.0,371.0,x234,78.0,4.0
14K477,SCHOOL FOR LEGAL STUDIES,134.0,413.0,396.0,395.0,x345,78.0,1.0
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142.0,398.0,421.0,396.0,x345,78.0,4.0
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42.0,367.0,373.0,350.0,x345,78.0,4.0
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72.0,363.0,385.0,364.0,x234,,4.0
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113.0,397.0,410.0,380.0,No Data,85.0,2.0
14K586,LYONS COMMUNITY SCHOOL,31.0,371.0,377.0,355.0,No Data,92.0,1.0
