dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,contact_extension,pct_students_tested,academic_tier_rating
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62.0,393.0,381.0,377.0,x123,78.0,
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98.0,410.0,440.0,405.0,x123,78.0,4.0
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395.0,414.0,449.0,412.0,No Data,85.0,4.0
30Q450,LONG ISLAND CITY HIGH SCHOOL,392.0,403.0,420.0,395.0,x345,92.0,3.0
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174.0,504.0,496.0,494.0,No Data,92.0,2.0
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148.0,407.0,434.0,398.0,x345,,4.0
30Q555,NEWCOMERS HIGH SCHOOL,143.0,323.0,475.0,329.0,x123,78.0,2.0
30Q575,ACADEMY OF AMERICAN STUDIES,135.0,487.0,492.0,491.0,x345,,4.0
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61.0,524.0,568.0,544.0,x345,78.0,3.0
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137.0,452.0,451.0,450.0,x345,92.0,4.0
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61.0,398.0,412.0,385.0,x123,92.0,1.0
31R080,THE MICHAEL J. PETRIDES SCHOOL,107.0,472.0,488.0,466.0,x123,,1.0
31R440,NEW DORP HIGH SCHOOL,391.0,424.0,437.0,416.0,x345,92.0,1.0
31R445,PORT RICHMOND HIGH SCHOOL,271.0,424.0,438.0,417.0,x234,,3.0
31R450,CURTIS HIGH SCHOOL,375.0,437.0,435.0,429.0,x234,92.0,4.0
31R460,SUSAN E. WAGNER HIGH SCHOOL,535.0,455.0,474.0,459.0,x123,,2.0
31R470,CONCORD HIGH SCHOOL,10.0,466.0,455.0,414.0,No Data,,3.0
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94.0,416.0,422.0,397.0,x234,85.0,3.0
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227.0,635.0,682.0,636.0,x123,,2.0
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10.0,405.0,375.0,370.0,x345,78.0,1.0
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50.0,380.0,366.0,352.0,x345,92.0,
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88.0,384.0,409.0,361.0,No Data,85.0,3.0
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75.0,348.0,353.0,334.0,x234,85.0,3.0
32K552,ACADEMY OF URBAN PLANNING,67.0,342.0,364.0,354.0,x234,92.0,3.0
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39.0,428.0,465.0,422.0,No Data,,2.0
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23.0,347.0,358.0,350.0,No Data,92.0,2.0
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24.0,359.0,317.0,358.0,No Data,92.0,4.0
75Q811,P.S. Q811,32.0,429.0,444.0,433.0,x123,78.0,1.0
79Q950,GED PLUS s CITYWIDE,8.0,496.0,400.0,426.0,x234,92.0,2.0
79X490,PHOENIX ACADEMY,9.0,367.0,370.0,360.0,x234,85.0,
